symbol,label,market,code,payout_method,gate_note,fiscal_years,base_eps,f1_revenue,analysts,forecast_source,forecast_method,payout_ratio,payout_detail,payout_years,forecast_dividend_payout
NASDAQ:PDD,PDD,US,PDD,reinvestment,治理/竞争条件通过,"['F1', 'F2', 'F3']","[10.294782303199998, 11.838999648679996, 13.259679606521598]",69604379662.24507,,https://www.tradingview.com/markets/stocks-usa/stock-screener/,F1 analyst consensus; F2-F3 conservative fade model,0.0,"{""profit"": 270303595000.0, ""dividend"": 0.0, ""repurchase"": 0.0, ""issuance"": 0.0, ""sbc"": 24899329000.0}","2025-12-31,2024-12-31,2023-12-31",
NASDAQ:ADBE,Adobe,US,ADBE,total_payout,AI替代条件通过,"['F1', 'F2', 'F3']","[24.40247, 26.842717000000004, 29.258561530000005]",26524309379.0,,https://www.tradingview.com/markets/stocks-usa/stock-screener/,F1 analyst consensus; F2-F3 conservative fade model,1.0301909703057732,"{""profit"": 18118000000.0, ""dividend"": 0.0, ""repurchase"": 25181000000.0, ""issuance"": 1023000000.0, ""sbc"": 5493000000.0}","2025-11-28,2024-11-29,2023-12-01",
NASDAQ:LULU,Lululemon,US,LULU,total_payout,品牌修复待证,"['F1', 'F2', 'F3']","[10.844788, 11.71237104, 12.649360723200001]",11025596326.0,,https://www.tradingview.com/markets/stocks-usa/stock-screener/,F1 analyst consensus; F2-F3 conservative fade model,0.6327089319980284,"{""profit"": 4943989000.0, ""dividend"": 0.0, ""repurchase"": 3373880000.0, ""issuance"": 0.0, ""sbc"": 245774000.0}","2026-02-01,2025-02-02,2024-01-28",
NASDAQ:GOOGL,Alphabet,US,GOOGL,reinvestment,AI/监管条件通过,"['F1', 'F2', 'F3']","[20.569198, 23.448885720000003, 26.262752006400007]",497660225963.0,,https://www.tradingview.com/markets/stocks-usa/stock-screener/,F1 analyst consensus; F2-F3 conservative fade model,0.38110251141030377,"{""profit"": 306083000000.0, ""dividend"": 17412000000.0, ""repurchase"": 169435000000.0, ""issuance"": 0.0, ""sbc"": 70198000000.0}","2025-12-31,2024-12-31,2023-12-31",
NASDAQ:CHKP,Check Point,US,CHKP,total_payout,低增长但防守,"['F1', 'F2', 'F3']","[10.443949, 11.17502543, 11.8455269558]",2801847314.0,,https://www.tradingview.com/markets/stocks-usa/stock-screener/,F1 analyst consensus; F2-F3 conservative fade model,0.984870028072478,"{""profit"": 2742900000.0, ""dividend"": 0.0, ""repurchase"": 3987500000.0, ""issuance"": 785500000.0, ""sbc"": 500600000.0}","2025-12-31,2024-12-31,2023-12-31",
NASDAQ:META,Meta,US,META,reinvestment,资本开支压力,"['F1', 'F2', 'F3']","[31.398633, 35.79444162, 40.08977461440001]",254122887348.0,,https://www.tradingview.com/markets/stocks-usa/stock-screener/,F1 analyst consensus; F2-F3 conservative fade model,0.21862570715679736,"{""profit"": 161916000000.0, ""dividend"": 10396000000.0, ""repurchase"": 76147000000.0, ""issuance"": 0.0, ""sbc"": 51144000000.0}","2025-12-31,2024-12-31,2023-12-31",
SSE:605499,东鹏饮料,A,605499,reinvestment,单品依赖待核,"['2026', '2027', '2028']","[7.630095238095, 8.807952380952, 9.94715]",,42.0,https://data.eastmoney.com/report/profitforecast.jshtml,Eastmoney broker consensus mean,0.6253939982188779,"{""cash_dividend_per_share"": 12.5, ""eps"": 19.9874}","2025,2024,2023",
SZSE:000333,美的集团,A,000333,dividend,稳健低增长,"['2026', '2027', '2028']","[6.183741935484, 6.692419354839, 7.225766666667]",,31.0,https://data.eastmoney.com/report/profitforecast.jshtml,Eastmoney broker consensus mean,0.6679035250463822,"{""cash_dividend_per_share"": 10.8, ""eps"": 16.17}","2025,2024,2023",
NASDAQ:MSFT,Microsoft,US,MSFT,reinvestment,质量高/价格一般,"['F1', 'F2', 'F3']","[19.723885, 22.485228900000003, 25.183456368000005]",390636922968.0,,https://www.tradingview.com/markets/stocks-usa/stock-screener/,F1 analyst consensus; F2-F3 conservative fade model,0.2751261132408863,"{""profit"": 323717000000.0, ""dividend"": 72298000000.0, ""repurchase"": 57945000000.0, ""issuance"": 6067000000.0, ""sbc"": 35113000000.0}","2026-06-30,2025-06-30,2024-06-30",
NYSE:DECK,Deckers,US,DECK,total_payout,HOKA集中度待核,"['F1', 'F2', 'F3']","[7.534283, 8.287711300000002, 9.033605317000003]",5886966705.0,,https://www.tradingview.com/markets/stocks-usa/stock-screener/,F1 analyst consensus; F2-F3 conservative fade model,0.7005100510051006,"{""profit"": 2749725000.0, ""dividend"": 0.0, ""repurchase"": 2057033000.0, ""issuance"": 10757000.0, ""sbc"": 120066000.0}","2026-03-31,2025-03-31,2024-03-31",
