name,description,close,market_cap_basic,price_earnings_ttm,price_book_fq,return_on_equity,return_on_assets,free_cash_flow_ttm,cash_n_short_term_inv,total_debt,total_revenue_yoy_growth_ttm,net_income_yoy_growth_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,average_volume_30d_calc,sector,industry,symbol,market,traded_value_30d,quick_pr_roe,implied_roe_from_pe_pb,quick_pr_pe_pb,market_pr_factor,market_normalized_quick_pr,pr_path_gap_percent,model,fcf_positive,rank_penalty,screen_rank,stage1_tier
688332,"Shenzhen Bluetrum Technology Co., Ltd. Class A",92.59,17371978109.0,9.368707565593096,2.901981113772767,36.3336621518597,32.3465664300322,176028820.0,,134131190.87,5.1806051582914705,494.75528319373547,495.24784677467926,0.938122880920579,5078867.933333335,Electronic Technology,Electronic Production Equipment,SSE:688332,A,470252381.9473336,0.2578520030938739,30.97525558840574,0.30245779696164543,1.0,0.2578520030938739,14.747774504694933,technology_strict,True,0.0,0.2578520030938739,priority
000807,Yunnan Aluminium Co. Ltd. Class A,26.95,94952673974.0,8.519314661440221,2.449131671498287,31.873035672668497,23.0309853020037,12728817110.0,,2188432237.63,11.998636627683801,135.39154029176737,135.38953791204702,2.55295836376917,78345606.6000002,Non-Energy Minerals,Aluminum,SZSE:000807,A,2111414097.8700054,0.26728908877498714,28.747989349230735,0.29634471329272943,1.0,0.26728908877498714,9.804671119285713,cyclical,True,0.0,0.26728908877498714,priority
600066,"Yutong Bus Co., Ltd. Class A",28.68,61484501518.0,11.573382833622533,4.8932209780641065,41.9633760115753,17.8256609207609,6742100450.0,,244309885.36999997,13.520491965018078,25.31845967123254,25.32112875493071,8.80281690140845,19459643.96666665,Consumer Durables,Motor Vehicles,SSE:600066,A,558102588.9639995,0.2757972292417583,42.27995434358669,0.27373215069183404,1.0,0.2757972292417583,0.7544157837159338,cyclical,True,0.0,0.2757972292417583,priority
688336,"Sunshine Guojian Pharmaceutical (Shanghai) Co., Ltd. Class A",42.16,37668355152.0,12.278300375688032,4.443235974192134,43.3759904602582,41.5918436129793,2768102300.0,,0.0,257.6287675051025,302.44869615660497,301.226922178079,0.563385676897454,10084233.666666664,Health Technology,Pharmaceuticals: Major,SSE:688336,A,425151291.38666654,0.2830667437309037,36.187711965330955,0.3392947414705593,1.0,0.2830667437309037,16.572021569197993,health_special,True,0.0,0.2830667437309037,priority
300773,"Lakala Payment Co., Ltd. Class A",16.9,16946596450.0,11.41120864280891,3.96524660783711,39.6843775216037,15.072683148341701,303746930.0,,44141541.3,13.541774992577304,899.7749951260454,884.0531561461795,2.18477329974811,53451488.76666666,Electronic Technology,Computer Processing Hardware,SZSE:300773,A,903330160.1566664,0.2875491403789006,34.74869956335362,0.3283923941384933,1.0,0.2875491403789006,12.437332437841974,technology_strict,True,0.0,0.2875491403789006,priority
600961,"Zhuzhou Smelter Group Co., Ltd. Class A",25.37,28559874909.0,10.940532148863685,4.644478617457528,53.679940778415,27.0892523869734,2803095330.0,,1335391190.83,23.464480803310217,148.52706859556076,148.54233654876742,0.0,52378909.9,Non-Energy Minerals,Other Metals/Minerals,SSE:600961,A,1328852944.163,0.20381043626752535,42.45203573520797,0.2577151356675708,1.0,0.20381043626752535,20.91638865540969,cyclical,True,0.1,0.30381043626752535,priority
000612,"Jiaozuo Wanfang Aluminum Manufacturing Co., Ltd. Class A",11.03,13448008246.0,7.448676391139925,1.6243233213362158,23.9851342465253,20.5343293820202,1793464910.0,,299027706.75,11.182665610819303,130.76432822633265,130.76203833567084,2.88120567375887,34400268.89999999,Non-Energy Minerals,Aluminum,SZSE:000612,A,379434965.9669999,0.3105538753538145,21.806871933224553,0.34157472992681986,1.0,0.3105538753538145,9.08171824644386,cyclical,True,0.0,0.3105538753538145,priority
000567,"Hainan Haide Capital Management Co., Ltd. Class A",6.72,13213043470.0,8.290155440414507,1.8899763752953087,25.7252549072037,16.6972786145773,319822130.0,,2695088403.7999997,268.67499496454104,1498.7525623263539,1498.8165680473371,0.0,26750118.833333347,Finance,Investment Managers,SZSE:000567,A,179760798.5600001,0.3222574652931062,22.797840026999662,0.3636377582523787,1.0,0.3222574652931062,11.379536921067734,financial_special,True,0.0,0.3222574652931062,priority
000933,Henan Shenhuo Coal Industary and Electricity Power Corporation Limited Class A,27.36,62091004708.0,8.879369097458865,2.207822599517442,27.513984105269103,11.91854215424,10772467400.0,,14555494887.869999,12.741427207519704,75.24903223916701,76.54844439351402,2.87253141831239,51231841.03333323,Non-Energy Minerals,Aluminum,SZSE:000933,A,1401703170.671997,0.3227220406716165,24.86463368381979,0.35710838174289905,1.0,0.3227220406716165,9.62910500824904,cyclical,True,0.0,0.3227220406716165,priority
603444,"G-Bits Network Technology (Xiamen) Co., Ltd. Class A",399.9,27444776668.0,12.807455803228285,4.737795762735359,39.4799594237808,26.12710713473,3034145910.0,,24240639.42,74.27627798657514,109.04808114480116,109.59643422925112,5.14489710205796,2026329.3,Technology Services,Packaged Software,SSE:603444,A,810329087.0699999,0.324403975843848,36.9924818443733,0.3462178033122789,1.0,0.324403975843848,6.300608247102602,technology_strict,True,0.0,0.324403975843848,priority
601899,"Zijin Mining Group Co., Ltd. Class A",33.35,870890840238.7916,13.53655071640216,4.36738408753102,39.5141698448175,13.733808590563,69114516800.0,,173229052074.0,17.01668940250069,68.05463320035699,65.79407806191115,2.40168117682378,261534694.0999999,Non-Energy Minerals,Precious Metals,SSE:601899,A,8722182048.234997,0.3425745946217203,32.26364070899602,0.4195605461422023,1.0,0.3425745946217203,18.34918755549265,cyclical,True,0.0,0.3425745946217203,priority
