name,description,close,market_cap_basic,price_earnings_ttm,price_book_fq,return_on_equity,return_on_assets,free_cash_flow_ttm,cash_n_short_term_inv,total_debt,total_revenue_yoy_growth_ttm,net_income_yoy_growth_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,average_volume_30d_calc,sector,industry,symbol,market,traded_value_30d,quick_pr_roe,implied_roe_from_pe_pb,quick_pr_pe_pb,pr_path_gap_percent,model,fcf_positive,rank_penalty,screen_rank,stage1_tier,history_type,history_years,history_status,historical_neutral_roe,historical_neutral_roa,historical_bear_roe,historical_bear_roa,bear_anchor_source,historical_neutral_pr,historical_bear_pr,historical_pr_path,weak_years,stage2_rank,stage2_tier
HAFN,Hafnia Limited,8.47,4173639626.0328393,6.626319686719749,1.600062588131318,25.8610077053471,16.7647363703509,520347642.87779987,,883908344.1641848,5.066237788199953,39.92808080646917,41.71142138193912,9.12790856406954,1108792.066666667,Transportation,Marine Shipping,NYSE:HAFN,US,9391468.804666666,0.2562282089784796,24.14707807318911,0.2744149692412291,6.627466538373161,cyclical,True,0.0,0.2562282089784796,priority,cyclical,2,short_history,21.354944271566666,12.802702347866665,21.354944271566666,12.802702347866665,weak_history,0.35086503073400965,0.35086503073400965,pb,"2024,2025",0.35086503073400965,insufficient
OGC,OceanaGold Corporation,30.07,6688996667.688339,8.14435469192834,2.640783867695671,37.6100485264861,26.9038269395039,705945475.8399999,,50039880.0,49.39741703752898,118.47789178000195,128.69531122729933,0.792442418426104,528171.1000000002,Non-Energy Minerals,Precious Metals,NYSE:OGC,US,15882104.977000006,0.2165473061326375,32.424715862545675,0.2511773650216012,13.787093787684856,cyclical,True,0.0,0.2165473061326375,priority,cyclical,2,short_history,24.02623846846667,17.123880769333333,24.02623846846667,17.123880769333333,weak_history,0.4574686017342177,0.4574686017342177,pb,"2024,2025",0.4574686017342178,insufficient
RBGLY,Reckitt Benckiser Group Plc.,14.04,44269481390.0244,11.860111505321845,5.9239756458779,47.8840051521705,11.7078826556508,2102008750.0,,13488841750.0,1.1450505682038803,139.6306759072555,142.13540601349968,3.74883537424747,522135.76666666655,Consumer Non-Durables,Household/Personal Care,OTC:RBGLY,US,7330786.163999998,0.24768419992504,49.94873482614145,0.237445683991873,4.311940213458421,stable_or_general,True,0.0,0.24768419992504,priority,stable,0,missing,,,,,,,,,,,insufficient
PBR.A,Petroleo Brasileiro S.A. Petrobras,16.77,114123040482.3512,4.241489200263038,1.1630648875079757,30.685982529677503,11.0211924445216,18257156170.0,,70814633062.5296,20.81710009340769,86.33582928701784,86.33300344031292,5.68447227191413,6990737.033333333,Energy Minerals,Integrated Oil,NYSE:PBR.A,US,117234660.049,0.1382223689973408,27.421144616750357,0.1546795095370344,10.639509130169143,cyclical,True,0.15,0.2882223689973408,priority,cyclical,0,missing,,,,,,,,,,,insufficient
600989,"Ningxia Baofeng Energy Group Co., Ltd. Class A",24.49,179593981373.0,11.563887052601755,3.217660475724992,30.7483014005767,16.6197878112591,12334037720.0,,27734987593.34,42.437252840155466,75.53613281422017,76.6157951797181,3.15271539403838,82085368.6,Process Industries,Chemicals: Specialty,SSE:600989,A,2010270677.0139997,0.3760821419678444,27.82507699261081,0.4155922751147336,9.506945993156757,cyclical,True,0.0,0.3760821419678444,priority,cyclical,10,usable,21.101142857142857,11.659696241202855,16.527142857142856,9.077385908453572,weak_history,0.7226504216687628,1.1779982729794225,pb,"2016,2020,2023,2024",0.9730917398896257,not_now
688332,"Shenzhen Bluetrum Technology Co., Ltd. Class A",95.07,16968600868.000002,9.619646055307651,2.979709952331536,36.3336621518597,32.3465664300322,176028820.0,,134131190.87,5.1806051582914705,494.75528319373547,495.24784677467926,0.960423898180288,5432578.666666668,Electronic Technology,Electronic Production Equipment,SSE:688332,A,516475253.8400001,0.2647585045267803,30.975255588405737,0.3105590534306472,14.747774504694933,technology_strict,True,0.0,0.2647585045267803,priority,technology,5,usable,17.496,15.487044708696,6.948125000000001,5.969431329556251,weak_history,0.5498197333852111,1.3844952494820761,pe,"2022,2023",1.0088912672384869,not_now
883,CNOOC Limited,25.44,1250213737084.0,7.782910637256403,1.222163238540418,16.78691704247,11.8794110184119,,,78690939429.304,10.531513069035286,12.717803724573292,12.725454357347305,5.0314465408805,67452735.83333327,Energy Minerals,Integrated Oil,HKEX:883,HK,1715997599.5999985,0.4636295406456144,15.703164220979025,0.4956269021792839,6.455937196503325,cyclical,False,0.25,0.7136295406456143,watch,cyclical,9,short_history,17.05218525811329,11.190575442209044,9.7737147622569,5.919066431633899,weak_history,0.42030942810079114,1.2794104561517576,pb,"2017,2018,2019,2020",1.0428149935288227,not_now
1651,Precision Tsugami (China) Corp. Ltd.,52.0,19167928711.0,15.927956626948877,4.620271440947156,32.192536246929,23.5449019144656,1143151900.0,,91787153.7013983,23.92836897851255,42.602679401505554,46.18277884744549,2.11538461538462,1329495.4666666666,Producer Manufacturing,Industrial Machinery,HKEX:1651,HK,69133764.26666667,0.4947717230098116,29.007308025500347,0.5491015096246297,9.89430654669996,cyclical,True,0.0,0.4947717230098116,priority,cyclical,9,short_history,25.694948816614044,18.094121539425533,18.62790073264567,13.174738233649869,weak_history,0.6997968403329288,1.3314953719654887,pb,"2018,2020,2021,2024",1.0472310327308367,not_now
002648,Satellite Chemical Co. Ltd. Class A,28.38,95541388342.0,10.832888006718068,2.5037185248704468,25.4290158398774,11.7413070343298,12548159240.0,,26766214478.33,7.268363633239024,30.09342090629934,30.481123617890233,1.76180408738548,50937150.99999996,Process Industries,Chemicals: Specialty,SZSE:002648,A,1445596345.379999,0.426005004477212,23.112197996672297,0.4687086882986114,9.110922175650629,cyclical,True,0.0,0.426005004477212,priority,cyclical,10,usable,18.893,8.342855928782857,13.54095238095238,6.55227471627619,weak_history,0.7014288967361079,1.3654854631072029,pb,"2016,2018,2019,2022",1.06666000824021,not_now
1133,Harbin Electric Co. Ltd. Class H,16.58,37077455642.0,9.95018904158915,1.7082111588018205,18.9305940146577,3.9523151047633807,7049798220.0,,7597429619.07465,13.477776996242996,55.89041902764082,55.889231920666106,2.45288299155609,6651129.433333334,Producer Manufacturing,Electrical Products,HKEX:1133,HK,110275726.00466666,0.5256142006893632,17.167625174375594,0.579590300960252,9.31280254025343,cyclical,True,0.1,0.6256142006893631,watch,stable,3,usable,11.626260274192418,2.473036629944,8.488971048569859,1.7108881945047143,weak_history,0.855837458213132,1.1721313436762708,pe,"2023,2024",1.1297990952178585,not_now
991,"Datang International Power Generation Co., Ltd. Class H",2.505,100482650181.0,7.159188339525579,1.2213197078583755,18.4678068836473,1.8112348440864705,5682476310.0,,273780564621.812,-2.047812602531371,96.12909082637955,96.13228699551568,6.67465069860279,29924425.4,Utilities,Electric Utilities,HKEX:991,HK,74960685.62699999,0.3876577432626735,17.059471687810202,0.4196606126226732,7.625893018646057,stable_or_general,True,0.18,0.5676577432626735,watch,stable,3,usable,11.094727028130668,1.0674294076416666,5.70808329084543,0.52563935354,weak_history,0.6452784571782131,1.2542193192953959,pe,"2023,2024",1.1301959313426637,not_now
1038,CK Infrastructure Holdings Limited,65.0,155255467529.0,6.507027589796981,1.1071169737213011,18.4253294289898,14.358942176861,,,31269000000.0,-9.356477561388656,208.74631992149168,208.74698646226128,4.01538461538462,1365621.1333333333,Utilities,Electric Utilities,HKEX:1038,HK,88765373.66666667,0.3531566485622254,17.014173652148955,0.3824474654386238,7.658781799692448,stable_or_general,False,0.33,0.6831566485622254,watch,stable,3,usable,6.629756790162666,5.00620422117325,6.6266074389269995,5.002432895659874,weak_history,0.9814881293160267,0.9819545898512767,pe,"2023,2025",1.1817446826104143,not_now
ZM,"Zoom Communications, Inc.",98.43,28720272071.999996,9.116505663662718,2.545543979101868,32.1430348882633,26.432371088622,1925657000.0,,60272000.0,5.036770916318318,173.97084445042967,184.39837741017809,0.0,3315670.2666666666,Technology Services,Packaged Software,NASDAQ:ZM,US,326361424.348,0.2836230522523408,27.92236491716444,0.3264947539618543,13.130900631414844,technology_strict,True,0.0,0.2836230522523408,priority,technology,5,usable,14.462943156078,11.545728855596,5.79815023775,4.55013937988125,weak_history,0.6303354417756624,1.5723127704259732,pe,"2023,2024",1.2484229725333336,not_now
